Bitcoin,BTC,"$54,343.88",https://coinmarketcap.com/currencies/bitcoin/
Ethereum,ETH,"$4,086.75",https://coinmarketcap.com/currencies/ethereum/
Binance Coin,BNB,$595.85,https://coinmarketcap.com/currencies/binance-coin/
Tether,USDT,$1.00,https://coinmarketcap.com/currencies/tether/
Solana,SOL,$189.96,https://coinmarketcap.com/currencies/solana/
Cardano,ADA,$1.51,https://coinmarketcap.com/currencies/cardano/
XRP,XRP,$0.9322,https://coinmarketcap.com/currencies/xrp/
USD Coin,USDC,$0.9998,https://coinmarketcap.com/currencies/usd-coin/
Polkadot,DOT,$33.61,https://coinmarketcap.com/currencies/polkadot-new/
Dogecoin,DOGE,$0.2,https://coinmarketcap.com/currencies/dogecoin/
Avalanche,AVAX,$107.27,https://coinmarketcap.com/currencies/avalanche/
SHIBA INU,SHIB,$0.00,https://coinmarketcap.com/currencies/shiba-inu/
Crypto.com Coin,CRO,$0.73,https://coinmarketcap.com/currencies/crypto-com-coin/
Terra,LUNA,$45.40,https://coinmarketcap.com/currencies/terra-luna/
Wrapped Bitcoin,WBTC,$53682.25,https://coinmarketcap.com/currencies/wrapped-bitcoin/
Litecoin,LTC,$189.97,https://coinmarketcap.com/currencies/litecoin/
Binance USD,BUSD,$1.00,https://coinmarketcap.com/currencies/binance-usd/
Uniswap,UNI,$19.13,https://coinmarketcap.com/currencies/uniswap/
Chainlink,LINK,$23.67,https://coinmarketcap.com/currencies/chainlink/
Polygon,MATIC,$1.57,https://coinmarketcap.com/currencies/polygon/
Bitcoin Cash,BCH,$552.73,https://coinmarketcap.com/currencies/bitcoin-cash/
Algorand,ALGO,$1.63,https://coinmarketcap.com/currencies/algorand/
Decentraland,MANA,$4.87,https://coinmarketcap.com/currencies/decentraland/
Elrond,EGLD,$412.81,https://coinmarketcap.com/currencies/elrond-egld/
Axie Infinity,AXS,$128.17,https://coinmarketcap.com/currencies/axie-infinity/
Stellar,XLM,$0.31,https://coinmarketcap.com/currencies/stellar/
TerraUSD,UST,$1.00,https://coinmarketcap.com/currencies/terrausd/
Internet Computer,ICP,$40.63,https://coinmarketcap.com/currencies/internet-computer/
VeChain,VET,$0.11,https://coinmarketcap.com/currencies/vechain/
Filecoin,FIL,$54.81,https://coinmarketcap.com/currencies/filecoin/
FTX Token,FTT,$47.62,https://coinmarketcap.com/currencies/ftx-token/
TRON,TRX,$0.09,https://coinmarketcap.com/currencies/tron/
Dai,DAI,$1.00,https://coinmarketcap.com/currencies/multi-collateral-dai/
The Sandbox,SAND,$7.19,https://coinmarketcap.com/currencies/the-sandbox/
THETA,THETA,$6.35,https://coinmarketcap.com/currencies/theta/
Ethereum Classic,ETC,$46.02,https://coinmarketcap.com/currencies/ethereum-classic/
Cosmos,ATOM,$26.13,https://coinmarketcap.com/currencies/cosmos/
Bitcoin BEP2,BTCB,$54471.32,https://coinmarketcap.com/currencies/bitcoin-bep2/
Hedera,HBAR,$0.31,https://coinmarketcap.com/currencies/hedera/
Fantom,FTM,$2.02,https://coinmarketcap.com/currencies/fantom/
Gala,GALA,$0.69,https://coinmarketcap.com/currencies/gala/
NEAR Protocol,NEAR,$8.00,https://coinmarketcap.com/currencies/near-protocol/
The Graph,GRT,$0.95,https://coinmarketcap.com/currencies/the-graph/
Monero,XMR,$230.70,https://coinmarketcap.com/currencies/monero/
Helium,HNT,$38.89,https://coinmarketcap.com/currencies/helium/
Tezos,XTZ,$4.48,https://coinmarketcap.com/currencies/tezos/
Flow,FLOW,$12.30,https://coinmarketcap.com/currencies/flow/
Loopring,LRC,$2.84,https://coinmarketcap.com/currencies/loopring/
EOS,EOS,$3.83,https://coinmarketcap.com/currencies/eos/
IOTA,MIOTA,$1.30,https://coinmarketcap.com/currencies/iota/
Klaytn,KLAY,$1.34,https://coinmarketcap.com/currencies/klaytn/
PancakeSwap,CAKE,$12.96,https://coinmarketcap.com/currencies/pancakeswap/
Aave,AAVE,$227.70,https://coinmarketcap.com/currencies/aave/
Zcash,ZEC,$231.13,https://coinmarketcap.com/currencies/zcash/
Enjin Coin,ENJ,$3.59,https://coinmarketcap.com/currencies/enjin-coin/
UNUS SED LEO,LEO,$3.15,https://coinmarketcap.com/currencies/unus-sed-leo/
Amp,AMP,$0.07,https://coinmarketcap.com/currencies/amp/
Maker,MKR,$2973.62,https://coinmarketcap.com/currencies/maker/
Kusama,KSM,$344.28,https://coinmarketcap.com/currencies/kusama/
eCash,XEC,$0.00,https://coinmarketcap.com/currencies/ecash/
THORChain,RUNE,$10.75,https://coinmarketcap.com/currencies/thorchain/
Harmony,ONE,$0.25,https://coinmarketcap.com/currencies/harmony/
Bitcoin SV,BSV,$143.25,https://coinmarketcap.com/currencies/bitcoin-sv/
Neo,NEO,$36.83,https://coinmarketcap.com/currencies/neo/
Chiliz,CHZ,$0.43,https://coinmarketcap.com/currencies/chiliz/
Kadena,KDA,$16.06,https://coinmarketcap.com/currencies/kadena/
Quant,QNT,$201.94,https://coinmarketcap.com/currencies/quant/
Basic Attention Token,BAT,$1.63,https://coinmarketcap.com/currencies/basic-attention-token/
Stacks,STX,$1.83,https://coinmarketcap.com/currencies/stacks/
Waves,WAVES,$19.19,https://coinmarketcap.com/currencies/waves/
Holo,HOT,$0.01,https://coinmarketcap.com/currencies/holo/
BitTorrent,BTT,$0.00,https://coinmarketcap.com/currencies/bittorrent/
Curve DAO Token,CRV,$4.59,https://coinmarketcap.com/currencies/curve-dao-token/
Arweave,AR,$55.14,https://coinmarketcap.com/currencies/arweave/
Dash,DASH,$174.26,https://coinmarketcap.com/currencies/dash/
KuCoin Token,KCS,$22.62,https://coinmarketcap.com/currencies/kucoin-token/
Compound,COMP,$279.14,https://coinmarketcap.com/currencies/compound/
Celo,CELO,$4.72,https://coinmarketcap.com/currencies/celo/
Theta Fuel,TFUEL,$0.30,https://coinmarketcap.com/currencies/theta-fuel/
Huobi Token,HT,$9.75,https://coinmarketcap.com/currencies/huobi-token/
NEM,XEM,$0.16,https://coinmarketcap.com/currencies/nem/
IoTeX,IOTX,$0.15,https://coinmarketcap.com/currencies/iotex/
Mina,MINA,$4.60,https://coinmarketcap.com/currencies/mina/
Qtum,QTUM,$14.08,https://coinmarketcap.com/currencies/qtum/
Nexo,NEXO,$2.46,https://coinmarketcap.com/currencies/nexo/
Immutable X,IMX,$7.23,https://coinmarketcap.com/currencies/immutable-x/
Decred,DCR,$99.97,https://coinmarketcap.com/currencies/decred/
OKB,OKB,$22.17,https://coinmarketcap.com/currencies/okb/
TrueUSD,TUSD,$1.00,https://coinmarketcap.com/currencies/trueusd/
Ankr,ANKR,$0.16,https://coinmarketcap.com/currencies/ankr/
WAX,WAXP,$0.68,https://coinmarketcap.com/currencies/wax/
Horizen,ZEN,$102.81,https://coinmarketcap.com/currencies/horizen/
Livepeer,LPT,$56.62,https://coinmarketcap.com/currencies/livepeer/
Siacoin,SC,$0.02,https://coinmarketcap.com/currencies/siacoin/
Audius,AUDIO,$2.34,https://coinmarketcap.com/currencies/audius/
ICON,ICX,$1.68,https://coinmarketcap.com/currencies/icon/
Ravencoin,RVN,$0.11,https://coinmarketcap.com/currencies/ravencoin/
OMG Network,OMG,$7.87,https://coinmarketcap.com/currencies/omg/
XDC Network,XDC,$0.09,https://coinmarketcap.com/currencies/xinfin/
BORA,BORA,$1.25,https://coinmarketcap.com/currencies/bora/
Voyager Token,VGX,$3.84,https://coinmarketcap.com/currencies/voyager-token/
yearn.finance,YFI,"$28,904.49",https://coinmarketcap.com/currencies/yearn-finance/
Revain,REV,$0.01216,https://coinmarketcap.com/currencies/revain/
Oasis Network,ROSE,$0.2892,https://coinmarketcap.com/currencies/oasis-network/
Zilliqa,ZIL,$0.08087,https://coinmarketcap.com/currencies/zilliqa/
0x,ZRX,$1.14,https://coinmarketcap.com/currencies/0x/
Pax Dollar,USDP,$0.9995,https://coinmarketcap.com/currencies/paxos-standard/
Storj,STORJ,$2.68,https://coinmarketcap.com/currencies/storj/
Bitcoin Gold,BTG,$53.46,https://coinmarketcap.com/currencies/bitcoin-gold/
Celsius,CEL,$3.91,https://coinmarketcap.com/currencies/celsius/
renBTC,RENBTC,$53662.39,https://coinmarketcap.com/currencies/renbtc/
Ren,REN,$0.90,https://coinmarketcap.com/currencies/ren/
UMA,UMA,$13.95,https://coinmarketcap.com/currencies/uma/
SushiSwap,SUSHI,$7.02,https://coinmarketcap.com/currencies/sushiswap/
Bancor,BNT,$3.78,https://coinmarketcap.com/currencies/bancor/
Secret,SCRT,$5.89,https://coinmarketcap.com/currencies/secret/
Velas,VLX,$0.41,https://coinmarketcap.com/currencies/velas/
Nervos Network,CKB,$0.03,https://coinmarketcap.com/currencies/nervos-network/
Synthetix,SNX,$7.37,https://coinmarketcap.com/currencies/synthetix-network-token/
Ontology,ONT,$0.97,https://coinmarketcap.com/currencies/ontology/
Perpetual Protocol,PERP,$11.97,https://coinmarketcap.com/currencies/perpetual-protocol/
Golem,GLM,$0.79,https://coinmarketcap.com/currencies/golem-network-tokens/
Hive,HIVE,$2.06,https://coinmarketcap.com/currencies/hive-blockchain/
SKALE Network,SKL,$0.33,https://coinmarketcap.com/currencies/skale-network/
Telcoin,TEL,$0.01,https://coinmarketcap.com/currencies/telcoin/
Moonriver,MOVR,$309.32,https://coinmarketcap.com/currencies/moonriver/
Polymath,POLY,$0.83,https://coinmarketcap.com/currencies/polymath-network/
Raydium,RAY,$9.67,https://coinmarketcap.com/currencies/raydium/
Dogelon Mars,ELON,$0.00,https://coinmarketcap.com/currencies/dogelon/
dYdX,DYDX,$12.17,https://coinmarketcap.com/currencies/dydx/
DigiByte,DGB,$0.05,https://coinmarketcap.com/currencies/digibyte/
Kava,KAVA,$4.76,https://coinmarketcap.com/currencies/kava/
Serum,SRM,$5.02,https://coinmarketcap.com/currencies/serum/
IOST,IOST,$0.04,https://coinmarketcap.com/currencies/iostoken/
XYO,XYO,$0.05,https://coinmarketcap.com/currencies/xyo/
CEEK VR,CEEK,$0.88,https://coinmarketcap.com/currencies/ceek-vr/
Ocean Protocol,OCEAN,$1.06,https://coinmarketcap.com/currencies/ocean-protocol/
Celer Network,CELR,$0.11,https://coinmarketcap.com/currencies/celer-network/
SwissBorg,CHSB,$0.65,https://coinmarketcap.com/currencies/swissborg/
1inch Network,1INCH,$3.56,https://coinmarketcap.com/currencies/1inch/
WINkLink,WIN,$0.00,https://coinmarketcap.com/currencies/wink/
NuCypher,NU,$0.92,https://coinmarketcap.com/currencies/nucypher/
Ultra,UOS,$2.23,https://coinmarketcap.com/currencies/ultra/
Nano,NANO,$4.73,https://coinmarketcap.com/currencies/nano/
MyNeighborAlice,ALICE,$20.44,https://coinmarketcap.com/currencies/myneighboralice/
Request,REQ,$0.60,https://coinmarketcap.com/currencies/request/
Gnosis,GNO,$395.16,https://coinmarketcap.com/currencies/gnosis-gno/
Chromia,CHR,$1.01,https://coinmarketcap.com/currencies/chromia/
Neutrino USD,USDN,$0.98,https://coinmarketcap.com/currencies/neutrino-usd/
DigitalBits,XDB,$0.63,https://coinmarketcap.com/currencies/digitalbits/
OriginTrail,TRAC,$1.51,https://coinmarketcap.com/currencies/origintrail/
Fetch.ai,FET,$0.72,https://coinmarketcap.com/currencies/fetch/
Injective Protocol,INJ,$12.02,https://coinmarketcap.com/currencies/injective-protocol/
Reserve Rights,RSR,$0.04,https://coinmarketcap.com/currencies/reserve-rights/
Mdex,MDX,$0.64,https://coinmarketcap.com/currencies/mdex/
GateToken,GT,$6.28,https://coinmarketcap.com/currencies/gatetoken/
WOO Network,WOO,$0.84,https://coinmarketcap.com/currencies/wootrade/
Casper,CSPR,$0.18,https://coinmarketcap.com/currencies/casper/
Dent,DENT,$0.00,https://coinmarketcap.com/currencies/dent/
Dvision Network,DVI,$1.72,https://coinmarketcap.com/currencies/dvision-network/
Cartesi,CTSI,$0.96,https://coinmarketcap.com/currencies/cartesi/
Lisk,LSK,$3.42,https://coinmarketcap.com/currencies/lisk/
Fei USD,FEI,$1.00,https://coinmarketcap.com/currencies/fei-usd/
Swipe,SXP,$2.18,https://coinmarketcap.com/currencies/swipe/
Alpha Finance Lab,ALPHA,$0.93,https://coinmarketcap.com/currencies/alpha-finance-lab/
MediBloc,MED,$0.08,https://coinmarketcap.com/currencies/medibloc/
Syscoin,SYS,$0.64,https://coinmarketcap.com/currencies/syscoin/
Flux,FLUX,$1.78,https://coinmarketcap.com/currencies/zel/
Origin Protocol,OGN,$1.00,https://coinmarketcap.com/currencies/origin-protocol/
Civic,CVC,$0.56,https://coinmarketcap.com/currencies/civic/
Reef,REEF,$0.02,https://coinmarketcap.com/currencies/reef/
NKN,NKN,$0.54,https://coinmarketcap.com/currencies/nkn/
Verge,XVG,$0.02,https://coinmarketcap.com/currencies/verge/
Function X,FX,$0.91,https://coinmarketcap.com/currencies/function-x/
WazirX,WRX,$1.14,https://coinmarketcap.com/currencies/wazirx/
VeThor Token,VTHO,$0.01,https://coinmarketcap.com/currencies/vethor-token/
Bitcoin Standard Hashrate Token,BTCST,$30.37,https://coinmarketcap.com/currencies/btc-standard-hashrate-token/
Orchid,OXT,$0.49,https://coinmarketcap.com/currencies/orchid/
Ardor,ARDR,$0.33,https://coinmarketcap.com/currencies/ardor/
BakeryToken,BAKE,$1.70,https://coinmarketcap.com/currencies/bakerytoken/
COTI,COTI,$0.38,https://coinmarketcap.com/currencies/coti/
